  0%|          | 0/3602 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.5251, 'grad_norm': 3.3609635133728952, 'learning_rate': 7.706422018348626e-06, 'epoch': 0.05}
{'loss': 1.4992, 'grad_norm': 2.873666008108805, 'learning_rate': 7.79816513761468e-06, 'epoch': 0.05}
{'loss': 1.5275, 'grad_norm': 2.8739612224994144, 'learning_rate': 7.889908256880735e-06, 'epoch': 0.05}
{'loss': 1.5483, 'grad_norm': 3.4629052710359036, 'learning_rate': 7.981651376146789e-06, 'epoch': 0.05}
{'loss': 1.5931, 'grad_norm': 3.3385048474033123, 'learning_rate': 8.073394495412845e-06, 'epoch': 0.05}
{'loss': 1.6072, 'grad_norm': 3.1499264755523186, 'learning_rate': 8.1651376146789e-06, 'epoch': 0.05}
{'loss': 1.5942, 'grad_norm': 2.8989932494692465, 'learning_rate': 8.256880733944956e-06, 'epoch': 0.05}
{'loss': 1.4835, 'grad_norm': 3.011167151485934, 'learning_rate': 8.34862385321101e-06, 'epoch': 0.05}
{'loss': 1.4745, 'grad_norm': 3.2538081034817665, 'learning_rate': 8.440366972477065e-06, 'epoch': 0.05}
{'loss': 1.4837, 'grad_norm': 3.5303382823779397, 'learning_rate': 8.53211009174312e-06, 'epoch': 0.05}
{'loss': 1.5594, 'grad_norm': 2.977611671606198, 'learning_rate': 8.623853211009175e-06, 'epoch': 0.05}
{'loss': 1.4932, 'grad_norm': 3.3041204203467647, 'learning_rate': 8.71559633027523e-06, 'epoch': 0.05}
{'loss': 1.4653, 'grad_norm': 3.42637329517031, 'learning_rate': 8.807339449541286e-06, 'epoch': 0.05}
{'loss': 1.4647, 'grad_norm': 3.232979703729291, 'learning_rate': 8.89908256880734e-06, 'epoch': 0.05}
{'loss': 1.5392, 'grad_norm': 3.8308255024608737, 'learning_rate': 8.990825688073395e-06, 'epoch': 0.05}
{'loss': 1.4542, 'grad_norm': 3.4392828343357684, 'learning_rate': 9.08256880733945e-06, 'epoch': 0.06}
{'loss': 1.5177, 'grad_norm': 3.3724457176686697, 'learning_rate': 9.174311926605506e-06, 'epoch': 0.06}
{'loss': 1.5504, 'grad_norm': 3.213088531392201, 'learning_rate': 9.26605504587156e-06, 'epoch': 0.06}
{'loss': 1.5073, 'grad_norm': 3.2599829424139, 'learning_rate': 9.357798165137616e-06, 'epoch': 0.06}
{'loss': 1.5342, 'grad_norm': 3.2612867389994955, 'learning_rate': 9.44954128440367e-06, 'epoch': 0.06}
{'loss': 1.4533, 'grad_norm': 3.4295547636793295, 'learning_rate': 9.541284403669727e-06, 'epoch': 0.06}
{'loss': 1.4707, 'grad_norm': 3.3852237756294827, 'learning_rate': 9.633027522935781e-06, 'epoch': 0.06}
{'loss': 1.4372, 'grad_norm': 3.2360439733344957, 'learning_rate': 9.724770642201836e-06, 'epoch': 0.06}
{'loss': 1.4208, 'grad_norm': 3.091789198602693, 'learning_rate': 9.81651376146789e-06, 'epoch': 0.06}
{'loss': 1.4311, 'grad_norm': 3.2445571691154043, 'learning_rate': 9.908256880733946e-06, 'epoch': 0.06}
{'loss': 1.5218, 'grad_norm': 3.0790815401959883, 'learning_rate': 1e-05, 'epoch': 0.06}
{'loss': 1.4436, 'grad_norm': 3.200452542887302, 'learning_rate': 9.999997977714103e-06, 'epoch': 0.06}
{'loss': 1.4719, 'grad_norm': 3.367687716312619, 'learning_rate': 9.999991910858043e-06, 'epoch': 0.06}
{'loss': 1.457, 'grad_norm': 3.1901760749760535, 'learning_rate': 9.999981799436728e-06, 'epoch': 0.06}
{'loss': 1.4735, 'grad_norm': 3.1557809771277796, 'learning_rate': 9.999967643458342e-06, 'epoch': 0.06}
{'loss': 1.4934, 'grad_norm': 3.31296614599322, 'learning_rate': 9.999949442934331e-06, 'epoch': 0.06}
{'loss': 1.4437, 'grad_norm': 3.2909511366044866, 'learning_rate': 9.99992719787942e-06, 'epoch': 0.06}
{'loss': 1.4886, 'grad_norm': 3.152215546836016, 'learning_rate': 9.999900908311602e-06, 'epoch': 0.06}
{'loss': 1.4949, 'grad_norm': 3.327939800525097, 'learning_rate': 9.999870574252145e-06, 'epoch': 0.07}
{'loss': 1.4733, 'grad_norm': 3.359589771508871, 'learning_rate': 9.999836195725582e-06, 'epoch': 0.07}
{'loss': 1.4563, 'grad_norm': 3.2075681462056203, 'learning_rate': 9.999797772759729e-06, 'epoch': 0.07}
{'loss': 1.4726, 'grad_norm': 2.9682459514709074, 'learning_rate': 9.999755305385663e-06, 'epoch': 0.07}
{'loss': 1.4864, 'grad_norm': 3.3001469073486014, 'learning_rate': 9.999708793637737e-06, 'epoch': 0.07}
{'loss': 1.4472, 'grad_norm': 3.0470098182603707, 'learning_rate': 9.999658237553575e-06, 'epoch': 0.07}
{'loss': 1.4888, 'grad_norm': 2.9781812922603015, 'learning_rate': 9.999603637174072e-06, 'epoch': 0.07}
{'loss': 1.3486, 'grad_norm': 3.1821404249221397, 'learning_rate': 9.999544992543396e-06, 'epoch': 0.07}
{'loss': 1.4306, 'grad_norm': 3.266676558870895, 'learning_rate': 9.999482303708985e-06, 'epoch': 0.07}
{'loss': 1.3798, 'grad_norm': 2.9952925488464475, 'learning_rate': 9.999415570721549e-06, 'epoch': 0.07}
{'loss': 1.3653, 'grad_norm': 2.979267898213487, 'learning_rate': 9.999344793635068e-06, 'epoch': 0.07}
{'loss': 1.5444, 'grad_norm': 3.378169654998504, 'learning_rate': 9.999269972506798e-06, 'epoch': 0.07}
{'loss': 1.3615, 'grad_norm': 3.259773442231326, 'learning_rate': 9.999191107397258e-06, 'epoch': 0.07}
{'loss': 1.3526, 'grad_norm': 2.917363979756862, 'learning_rate': 9.999108198370248e-06, 'epoch': 0.07}
{'loss': 1.5105, 'grad_norm': 2.9423425287624547, 'learning_rate': 9.999021245492833e-06, 'epoch': 0.07}
{'loss': 1.3709, 'grad_norm': 3.064221136315571, 'learning_rate': 9.998930248835348e-06, 'epoch': 0.07}
{'loss': 1.4729, 'grad_norm': 3.3500942247131875, 'learning_rate': 9.998835208471404e-06, 'epoch': 0.07}
{'loss': 1.4149, 'grad_norm': 3.0516415737334017, 'learning_rate': 9.99873612447788e-06, 'epoch': 0.07}
{'loss': 1.4429, 'grad_norm': 3.024699879019638, 'learning_rate': 9.998632996934925e-06, 'epoch': 0.08}
{'loss': 1.4444, 'grad_norm': 3.0331858189266194, 'learning_rate': 9.998525825925961e-06, 'epoch': 0.08}
{'loss': 1.3301, 'grad_norm': 3.171146226287848, 'learning_rate': 9.998414611537682e-06, 'epoch': 0.08}
{'loss': 1.3603, 'grad_norm': 3.34041914514054, 'learning_rate': 9.998299353860048e-06, 'epoch': 0.08}
{'loss': 1.4705, 'grad_norm': 2.823213858996489, 'learning_rate': 9.998180052986296e-06, 'epoch': 0.08}
{'loss': 1.3254, 'grad_norm': 3.280888343140209, 'learning_rate': 9.998056709012926e-06, 'epoch': 0.08}
{'loss': 1.3226, 'grad_norm': 3.0539099749564613, 'learning_rate': 9.997929322039716e-06, 'epoch': 0.08}
{'loss': 1.3301, 'grad_norm': 2.7357168587363514, 'learning_rate': 9.997797892169711e-06, 'epoch': 0.08}
{'loss': 1.4436, 'grad_norm': 3.389723924105782, 'learning_rate': 9.997662419509224e-06, 'epoch': 0.08}
{'loss': 1.3736, 'grad_norm': 3.494963847725758, 'learning_rate': 9.997522904167844e-06, 'epoch': 0.08}
{'loss': 1.3783, 'grad_norm': 3.0697917241774446, 'learning_rate': 9.997379346258425e-06, 'epoch': 0.08}
{'loss': 1.4431, 'grad_norm': 3.0960314998327347, 'learning_rate': 9.997231745897094e-06, 'epoch': 0.08}
{'loss': 1.3928, 'grad_norm': 3.107341979907015, 'learning_rate': 9.997080103203245e-06, 'epoch': 0.08}
{'loss': 1.4424, 'grad_norm': 2.890854701230145, 'learning_rate': 9.996924418299547e-06, 'epoch': 0.08}
{'loss': 1.3344, 'grad_norm': 3.428076582133554, 'learning_rate': 9.996764691311934e-06, 'epoch': 0.08}
{'loss': 1.4199, 'grad_norm': 3.1343630227484387, 'learning_rate': 9.99660092236961e-06, 'epoch': 0.08}
{'loss': 1.3752, 'grad_norm': 2.8921860470125678, 'learning_rate': 9.996433111605053e-06, 'epoch': 0.08}
{'loss': 1.3621, 'grad_norm': 3.394846145874983, 'learning_rate': 9.996261259154005e-06, 'epoch': 0.08}
