  0%|          | 0/1801 [00:00<?, ?it/s]/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/usr/local/lib/python3.10/dist-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                   
{'loss': 1.2675, 'grad_norm': 3.064377365035199, 'learning_rate': 9.82846293883108e-06, 'epoch': 0.11}
{'loss': 1.3747, 'grad_norm': 2.895677272520375, 'learning_rate': 9.826118830398614e-06, 'epoch': 0.11}
{'loss': 1.3251, 'grad_norm': 3.215774374316028, 'learning_rate': 9.823759097357063e-06, 'epoch': 0.11}
{'loss': 1.2832, 'grad_norm': 2.98008344951013, 'learning_rate': 9.82138374734608e-06, 'epoch': 0.11}
{'loss': 1.3709, 'grad_norm': 3.0538210270196404, 'learning_rate': 9.81899278805589e-06, 'epoch': 0.11}
{'loss': 1.397, 'grad_norm': 2.883183973778057, 'learning_rate': 9.816586227227249e-06, 'epoch': 0.11}
{'loss': 1.2955, 'grad_norm': 2.9411674892077135, 'learning_rate': 9.814164072651418e-06, 'epoch': 0.12}
{'loss': 1.3244, 'grad_norm': 2.907683013224266, 'learning_rate': 9.811726332170153e-06, 'epoch': 0.12}
{'loss': 1.26, 'grad_norm': 3.0950342711733163, 'learning_rate': 9.809273013675658e-06, 'epoch': 0.12}
{'loss': 1.2493, 'grad_norm': 2.7273516219810663, 'learning_rate': 9.80680412511058e-06, 'epoch': 0.12}
{'loss': 1.2801, 'grad_norm': 2.9059976737408593, 'learning_rate': 9.804319674467969e-06, 'epoch': 0.12}
{'loss': 1.2741, 'grad_norm': 2.752473540572408, 'learning_rate': 9.801819669791261e-06, 'epoch': 0.12}
{'loss': 1.3453, 'grad_norm': 3.042461970906429, 'learning_rate': 9.799304119174246e-06, 'epoch': 0.12}
{'loss': 1.3851, 'grad_norm': 2.945405383029572, 'learning_rate': 9.796773030761047e-06, 'epoch': 0.12}
{'loss': 1.2594, 'grad_norm': 3.0348525709962946, 'learning_rate': 9.794226412746085e-06, 'epoch': 0.12}
{'loss': 1.2606, 'grad_norm': 2.8504996694569145, 'learning_rate': 9.791664273374064e-06, 'epoch': 0.12}
